"grdc_no","river","station","country","lat","long","area"
6112080,"TAMEGA","PONTE DE CANAVEZES","PT",41.2,-8.17,3180
6114500,"MONDEGO","PONTE DE IONCAIS","PT",40.61,-7.52,606
6115500,"SADO","M.DA GAMITINHA","PT",38.07,-8.4,2721
6115800,"ODELOUCA","M.DOS PACHECOS","PT",37.3,-8.47,386
6116200,"GUADIANA","PULO DO LOBO","PT",37.82,-7.63,60883
6118010,"CLAIE","SAINT-JEAN-BREVELAY","FR",47.8248,-2.7033,137
6118015,"YVEL","LOYAT (PONT D129)","FR",47.9938,-2.3688,315
6118020,"RUISSEAUX D'ARON","GRAND-FOUGERAY (LA BERNADAISE)","FR",47.7122,-1.6908,118
6118060,"EVEL","GUENIN","FR",47.8999,-2.9752,316
6118070,"STER-GOZ","BANNALEC (PONT MEYA)","FR",47.9068,-3.7522,70
6118090,"JET","ERGUE-GABERIC","FR",47.9879,-4.0145,107
6118160,"PENZE","TAULE (PENHOAT)","FR",48.5848,-3.9241,141
6118165,"RISLE","RAI","FR",48.7479,0.5806,149
6118185,"NEAL","MEDREAC","FR",48.2716,-2.0435,82
6118195,"RUISSEAUX LE GUIOULT","EPINIAC","FR",48.5251,-1.6895,63
6118205,"LOISANCE","SAINT-OUEN-LA-ROUERIE","FR",48.427,-1.4364,82
6118210,"MEU","MONFORT-SUR-MEU (LABBAYE)","FR",48.1275,-1.9448,468
6118230,"BETHUNE","SAINT-AUBIN-LE-CAUF","FR",49.8631,1.1848,946
6119010,"GAVE DE PAU","BERENX (PONT DE BERENX)","FR",43.5078,-0.8537,2575
6119020,"GAVE D'OSSAU","OLORON-SAINTE-MARIE (OLORON-STE-CROIX)","FR",43.1877,-0.5971,488
6119030,"GAVE D'OLORON","OLORON-SAINTE-MARIE (OLORON-SNCF)","FR",43.1979,-0.6085,1085
6119040,"SAISON","MAULEON-LICHARRE","FR",43.2459,-0.8749,480
6119050,"NIVE DES ALDUDES","SAINT-ETIENNE-DE-BAIGORRY","FR",43.1834,-1.3372,156
6119100,"LOUET","SOMBRUN","FR",43.48,0,84
6119110,"ECHEZ","LOUEY","FR",43.1746,0.0217,90
6119120,"ARROS","GOURGUE","FR",43.1306,0.2588,173
6119200,"LEYRE","SALLES","FR",44.5472,-0.872,1650
6119300,"GRAND LAY","SAINT-PROUANT (MONSIREIGNE)","FR",46.7493,-0.9518,131
6119310,"PETIT LAY","SAINT-HILAIRE-LE-VOUHIS","FR",46.6858,-1.1137,305
6119320,"LOUING","CHANTONNAY (ST-PHILBERT DU PONT CHARRAUL","FR",46.6687,-0.9717,120
6121240,"CHIERS","CARIGNAN","FR",49.6284,5.1587,1967
6122102,"SEINE","NOD-SUR-SEINE","FR",47.4133,3.4931,371
6122110,"AISNE","MOURON","FR",49.3072,4.7822,2280
6122120,"SAULX","VITRY-EN-PERTHOIS","FR",48.7451,4.626,2100
6122130,"ORGE","MORSANG-SUR-ORGE","FR",48.6667,2.3406,922
6122135,"REMARDE","SAINT-CYR-SOUS-DOURDAN","FR",48.56,2.0316,147
6122140,"OISE (TRIB. SEINE)","HIRSON","FR",49.9222,4.0684,315
6122141,"OISE (TRIB. SEINE)","SEMPIGNY","FR",49.5592,2.9932,4290
6122145,"THON","ORIGNY-EN-THIERACHE","FR",49.8941,4.0183,258
6122150,"EURE","SAINT-LUPERCE","FR",48.4482,1.2907,330
6122155,"RUISSEAUX L'YSIEUX","VIARMES (GIEZ+BERTINVAL)","FR",49.1325,2.4152,57
6122160,"CURE","MARIGNY-EGLISE (MENEFRIERS+CROTTEFROU)","FR",48.6667,2.3406,221
6122170,"SAUZAY","CORVOL-ORGUEILLEUX","FR",48.56,2.0316,81
6122180,"BEUVRON","OUAGNE (CHAMPMOREAU)","FR",48.3368,2.7879,264
6122200,"OURCE","AUTRICOURT","FR",47.353,3.9635,248
6122220,"VENCE","FRANCHEVILLE","FR",47.7637,4.5699,124
6122240,"LOING","EPISY","FR",48.3368,2.7879,3900
6122350,"ORGEVAL","LE THEIL","FR",48.5,3.7,104
